TUCASEID,TULINENO,TUYEAR,TUMONTH,TEABSRSN,TEERN,TEERNH1O,TEERNH2,TEERNHRO,TEERNHRY,TEERNPER,TEERNRT,TEERNUOT,TEERNWKP,TEHRFTPT,TEHRUSL1,TEHRUSL2,TEHRUSLT,TEIO1COW,TEIO1ICD,TEIO1OCD,TELAYAVL,TELAYLK,TELFS,TELKAVL,TELKM1,TEMJOT,TERET1,TESCHENR,TESCHFT,TESCHLVL,TESPEMPNOT,TESPUHRS,TRCHILDNUM,TRDPFTPT,TRDTIND1,TRDTOCC1,TRERNHLY,TRERNUPD,TRERNWA,TRHERNAL,TRHHCHILD,TRHOLIDAY,TRIMIND1,TRMJIND1,TRMJOCC1,TRMJOCGR,TRNHHCHILD,TRNUMHOU,TROHHCHILD,TRSPFTPT,TRSPPRES,TRTALONE,TRTALONE_WK,TRTCC,TRTCCC,TRTCCC_WK,TRTCCTOT,TRTCHILD,TRTCOC,TRTEC,TRTFAMILY,TRTFRIEND,TRTHH,TRTHHFAMILY,TRTNOCHILD,TRTNOHH,TRTO,TRTOHH,TRTOHHCHILD,TRTONHH,TRTONHHCHILD,TRTSPONLY,TRTSPOUSE,TRTUNMPART,TRWERNAL,TRYHHCHILD,TTHR,TTOT,TTWK,TUABSOT,TUBUS,TUBUS1,TUBUS2OT,TUBUSL1,TUBUSL2,TUBUSL3,TUBUSL4,TUCC2,TUCC4,TUCC5B_CK,TUCC5_CK,TUCC9,TUDIARYDATE,TUDIARYDAY,TUDIS,TUDIS1,TUDIS2,TUECYTD,TUELDER,TUELFREQ,TUELNUM,TUERN2,TUERNH1C,TUFINLWGT,TUFWK,TUIO1MFG,TUIODP1,TUIODP2,TUIODP3,TULAY,TULAY6M,TULAYAVR,TULAYDT,TULK,TULKAVR,TULKDK1,TULKDK2,TULKDK3,TULKDK4,TULKDK5,TULKDK6,TULKM2,TULKM3,TULKM4,TULKM5,TULKM6,TULKPS1,TULKPS2,TULKPS3,TULKPS4,TULKPS5,TULKPS6,TURETOT,TUSPABS,TUSPUSFT,TUSPWK,TXABSRSN,TXERN,TXERNH1O,TXERNH2,TXERNHRO,TXERNHRY,TXERNPER,TXERNRT,TXERNUOT,TXERNWKP,TXHRFTPT,TXHRUSL1,TXHRUSL2,TXHRUSLT,TXIO1COW,TXIO1ICD,TXIO1OCD,TXLAYAVL,TXLAYLK,TXLFS,TXLKAVL,TXLKM1,TXMJOT,TXRET1,TXSCHENR,TXSCHFT,TXSCHLVL,TXSPEMPNOT,TXSPUHRS,TXTCC,TXTCCTOT,TXTCOC,TXTHH,TXTNOHH,TXTO,TXTOHH,TXTONHH,TRLVMODR
20240101240005,1,2024,1,-1,-1,1800,-1,40,1,1,-1,2,-1,-1,040,-1,040,4,6992,5840,-1,-1,1,-1,-1,2,-1,2,-1,-1,-1,-1,3,1,33,17,1800,1,72000,1,1,0,11,8,5,3,2,4,1,-1,3,170,662,150,0,0,150,238,0,-1,238,0,150,238,0,0,150,150,238,0,0,0,0,0,1,6,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,06:00:00,-1,-1,-1,-1,20240123,3,-1,-1,-1,-1,2,-1,-1,-1,-1,18318135.374030,1,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,43,1,11,0,0,1,0,1,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,1,1,-1,-1,0,0,0,0,-1,0,0,-1,1
20240101240020,1,2024,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,2,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,2,1,2,-1,3,900,900,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20240126,6,-1,-1,-1,-1,2,-1,-1,-1,-1,7884307.258776,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1
20240101240098,1,2024,1,-1,-1,-1,1172,-1,1,2,1,1,-1,-1,031,-1,031,4,5370,5240,-1,-1,1,-1,-1,2,-1,1,2,2,-1,-1,3,2,22,17,1172,1,40000,0,1,0,7,5,5,3,2,6,2,-1,3,326,326,0,0,148,0,15,0,-1,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,12,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,21:47:00,1,-1,-1,20240121,1,-1,-1,-1,-1,2,-1,-1,-1,-1,20930362.544373,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,1
20240101240107,1,2024,1,-1,-1,-1,-1,-1,2,4,2,1,-1,-1,041,-1,041,4,3580,1320,-1,-1,1,-1,-1,2,-1,1,1,2,1,45,0,1,10,4,-1,0,147692,-1,2,0,4,4,2,1,2,2,2,1,1,150,150,0,0,0,0,0,0,-1,1095,0,0,1095,0,0,0,0,0,0,0,1095,1095,0,0,-1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20240121,1,-1,-1,-1,-1,2,-1,-1,-1,-1,6038839.236432,1,4,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,1
20240101240123,1,2024,1,-1,-1,2245,-1,25,1,1,-1,2,-1,-1,025,-1,025,4,6390,9640,-1,-1,1,-1,-1,2,-1,1,1,2,-1,-1,1,2,23,22,2245,1,56125,0,1,0,8,6,10,6,2,2,1,-1,3,357,357,307,0,0,307,320,0,-1,320,0,307,320,0,0,307,307,320,0,0,0,0,0,0,1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,09:30:00,21:00:00,-1,-1,-1,20240125,5,-1,-1,-1,-1,2,-1,-1,-1,-1,8892221.310580,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,0,0,-1,-1,0,0,0,0,-1,0,0,-1,1
20240101240143,1,2024,1,-1,-1,3300,-1,40,1,1,-1,2,-1,-1,040,-1,040,3,6970,5400,-1,-1,1,-1,-1,2,-1,2,-1,-1,-1,-1,1,1,32,17,3300,1,132000,0,1,0,11,8,5,3,2,4,2,-1,3,180,180,0,0,0,0,110,0,-1,210,180,0,210,110,0,0,0,0,0,0,0,0,0,0,16,0,0,0,-1,1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,20240121,1,-1,-1,-1,-1,2,-1,-1,-1,-1,11469642.134553,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,1,1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1
20240101240167,1,2024,1,-1,-1,-1,-1,-1,2,6,2,2,52,-1,040,-1,040,4,5080,5400,-1,-1,1,-1,-1,2,-1,2,-1,-1,-1,-1,0,1,22,17,-1,0,75000,-1,2,0,7,5,5,3,2,2,2,-1,3,60,60,0,0,0,0,520,0,-1,571,0,0,571,520,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20240127,7,-1,-1,-1,-1,2,-1,-1,-1,-1,10331610.698348,1,4,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,1,1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1
20240101240176,1,2024,1,-1,-1,-1,2000,-1,1,6,1,2,52,2,021,-4,-4,4,9290,4600,-1,-1,1,-1,-1,1,-1,2,-1,-1,1,40,0,2,50,15,2000,0,38461,0,2,0,19,12,3,2,2,3,2,1,1,0,0,0,15,420,0,0,0,-1,247,0,0,247,0,0,0,0,0,0,0,147,247,0,0,-1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20240123,3,-1,-1,-1,-1,2,-1,-1,-1,-1,79529690.407496,1,4,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,0,-1,-1,0,-1,0,1,1,0,0,-1,0,0,-1,-1,-1,-1,-1,1
20240101240219,1,2024,1,-1,-1,1000,-1,10,1,1,-1,2,-1,2,-4,-1,-4,5,9170,5310,-1,-1,1,-1,-1,2,-1,1,1,2,-1,-1,0,2,49,17,1000,0,10000,0,2,0,20,12,5,3,2,4,2,-1,3,22,22,0,0,0,0,0,0,-1,0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,20240121,1,-1,-1,-1,2,1,1,2,-1,-1,13144486.682193,1,4,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1
20240101240237,1,2024,1,-1,1000,1800,-1,25,1,1,-1,1,-1,-1,025,-1,025,4,8680,4140,-1,-1,1,-1,-1,2,-1,2,-1,-1,-1,-1,1,2,46,13,1800,1,46000,0,1,0,18,11,3,2,2,5,2,-1,3,404,404,0,0,346,0,105,0,-1,255,0,0,255,105,0,0,0,0,0,0,0,0,0,0,16,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20240126,6,-1,-1,-1,-1,2,-1,-1,-1,-1,47662545.014133,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,1,1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1
