TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20240101240005,1,29,18,2,0,0,0
20240101240005,2,11,22,1,0,0,0
20240101240005,3,9,22,2,0,0,0
20240101240005,4,6,22,2,0,0,0
20240101240020,1,77,19,2,0,0,0
20240101240098,1,19,18,1,0,0,0
20240101240098,2,48,24,1,0,0,0
20240101240098,3,47,24,2,0,0,0
20240101240098,4,15,25,2,0,0,0
20240101240098,5,12,25,1,0,0,0
20240101240098,6,12,25,1,0,0,0
20240101240107,1,23,19,2,0,0,0
20240101240107,2,23,20,1,0,0,0
20240101240123,1,22,18,2,0,0,0
20240101240123,2,1,22,1,0,0,0
20240101240143,1,21,18,2,0,0,0
20240101240143,2,51,24,1,0,0,0
20240101240143,3,19,25,2,0,0,0
20240101240143,4,16,25,1,0,0,0
20240101240167,1,22,18,2,0,0,0
20240101240167,2,52,24,2,0,0,0
20240101240176,1,22,18,2,0,0,0
20240101240176,2,22,20,1,0,0,0
20240101240176,3,46,24,2,0,0,0
20240101240219,1,21,18,1,0,0,0
20240101240219,2,54,24,1,0,0,0
20240101240219,3,55,24,2,0,0,0
20240101240219,4,19,25,2,0,0,0
20240101240237,1,24,18,1,0,0,0
20240101240237,2,46,24,1,0,0,0
20240101240237,3,46,24,2,0,0,0
20240101240237,4,18,25,1,0,0,0
20240101240237,5,16,25,2,0,0,0
20240101240295,1,24,18,1,0,0,0
20240101240295,2,28,30,1,0,0,0
20240101240295,3,24,21,2,0,0,0
20240101240500,1,76,19,2,0,0,0
20240101240500,2,62,28,2,0,0,0
20240101240500,4,2,30,1,0,0,0
20240101240512,1,51,18,2,0,0,0
20240101240512,2,55,20,1,0,0,0
20240101240519,1,78,18,1,0,0,0
20240101240519,2,71,20,2,0,0,0
20240101240533,1,38,18,2,0,0,0
20240101240533,2,15,22,2,0,0,0
20240101240533,3,10,22,1,0,0,0
20240101240541,1,25,18,1,0,0,0
20240101240541,2,55,24,2,0,0,0
20240101240541,3,21,25,2,0,0,0
20240101240543,1,71,19,2,0,0,0
20240101240549,1,42,18,2,0,0,0
20240101240549,2,41,20,1,0,0,0
20240101240549,3,5,22,2,0,0,0
